id,name,genres,type,episodes,status,aired_from,aired_to,duration_per_ep,score,scored_by,rank,rating,studios,producers,image,trailer,synopsis
37604,So long!,,Music,1.0,Finished Airing,2013-05-19T00:00:00+00:00,,6 min,5.9,151.0,,G - All Ages,,,https://cdn.myanimelist.net/images/anime/1221/91410l.jpg,,Official music video 
37865,Pokemon: Aki no Special,"Action, Adventure, Fantasy",TV Special,1.0,Finished Airing,1997-10-07T00:00:00+00:00,,48 min,5.9,954.0,10598.0,PG - Children,OLM,,https://cdn.myanimelist.net/images/anime/1287/123875l.jpg,,A recap special that aired after episod
38722,Shadow Skill (1999),Comedy,OVA,1.0,Finished Airing,1999-01-01T00:00:00+00:00,,18 min,5.9,159.0,10601.0,R+ - Mild Nudity,Zero-G Room,Takeshobo,https://cdn.myanimelist.net/images/anime/1805/96581l.jpg,,Bonus OVA of Shadow Skill. Features
1405,Tokio Private Police,"Comedy, Hentai",OVA,2.0,Finished Airing,1997-07-21T00:00:00+00:00,1997-08-21T00:00:00+00:00,27 min per ep,5.9,1110.0,,Rx - Hentai,Arms,"Green Bunny, BEAM Entertainment",https://cdn.myanimelist.net/images/anime/8/2826l.jpg,,"A strong and eager, but sexually very inhibited girl joins an elite police team in the future Tokyo. There, one of her colleagues, a beautiful and sexually not a little bit inhibited woman awakens her sexuallity. Tokyo Private Police is in a way a mix of mecha-fights and sexual in"
1332,The Elven Bride,"Fantasy, Hentai",OVA,2.0,Finished Airing,1995-07-25T00:00:00+00:00,1995-10-27T00:00:00+00:00,26 min per ep,5.9,1492.0,,Rx - Hentai,AIC,Pink Pineapple,https://cdn.myanimelist.net/images/anime/2/62811l.jpg,,"Mixed marriages are a tricky thing, so when the human Kenji and Milfa, an elf, get married, the course of true love does not run smoothly... especially when it turns out that there’s a certain difference in plumbing that makes it almost impossible for them to consummate their"
35642,Race-Tin: Flash & Dash,,TV,26.0,Finished Airing,2007-05-01T00:00:00+00:00,,21 min per ep,5.9,220.0,10587.0,PG - Children,Alpha Animation,Alpha Group,https://cdn.myanimelist.net/images/anime/1281/93043l.jpg,,"Twin brothers Frank and Karl live with Uncle Charles when their parents are away. They go to school and meet Mike and Sally.
They meet Sally, Norton and Mike and tell them all about R.C. Racing, but Karl tells that R.C. Racing is just babies games. Then after school, the guys go to the Race Tin club, and Mike races the duo. Karl fumbles with the controller buttons and Frank copies Mike and comes into second. After the race, Sally and his father arrive. They get to the car shop and analyze some cars. Mike tells them what R.C. Racing cars are like. He explains his car as an example, and he tells that the higher the level, the car will have to be modified with spoilers and new body kits.
Frank and Karl Race Marco and later on Sword, continuing to race Tommy and Norton, onwards against Ocean, and they race Sword again in the fi"
35367,Boku no Oldies wa All Color,Romance,OVA,1.0,Finished Airing,1987-12-10T00:00:00+00:00,,27 min,5.9,166.0,10619.0,PG-13 - Teens 13 or older,Tatsunoko Production,Nippon Columbia,https://cdn.myanimelist.net/images/anime/11/85164l.jpg,,"A minimalist adaptation of Seizo Watase's manga of the same name. It contains 5 stories of slow paced vignettes of romance whose only dialogue lies within the ""oldies"" being p"
35254,Time Bokan: The Villains Strike Back,"Adventure, Comedy",TV,24.0,Finished Airing,2017-10-07T00:00:00+00:00,2018-03-24T00:00:00+00:00,23 min per ep,5.9,542.0,10608.0,PG-13 - Teens 13 or older,Tatsunoko Production,Yomiuri Telecasting,https://cdn.myanimelist.net/images/anime/9/88224l.jpg,,"Bimajo, Tsubuyakky, and Suzukky work at the History Paradise Company, which publishes text books in the 24th century, and they're also the evil trio, Akudama, that gets in the way of JKK's investigation of history!

After their last battle in history with JKK officers Tokio and Calen, they were on a long yet short time off (unpaid, of course), when they finally received a new assignment from their mysterious boss.

The assignment... was to collect the mystical Dynamonds from famous people throughout history. Akudama starts hopping through time, as they're ordered, and try to get the Dynamonds from the various famous historical figures.

The evil trio's revenge mission through time was about to start once agai"
39089,Horizon,,Music,1.0,Finished Airing,2017-12-15T00:00:00+00:00,,5 min,5.9,172.0,,G - All Ages,,,https://cdn.myanimelist.net/images/anime/1459/98525l.jpg,,Music video directed by Toshiaki Hanzaki for the single Horizon by the band The Yellow Monkey. It was originally composed as the theme song for the 2017 documentar
34367,Long Riders! Recap,"Comedy, Sports",TV Special,1.0,Finished Airing,2016-11-12T00:00:00+00:00,,23 min,5.9,572.0,10586.0,PG-13 - Teens 13 or older,Actas,,https://cdn.myanimelist.net/images/anime/11/82795l.jpg,,Recap of the first four episodes 
